Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS▼,WS/48,,OBPM,DBPM,BPM,VORP
95,DeAndre Jordan\jordade01,C,32,BRK,57,1246,17.1,0.736,0.004,0.369,10.9,26.1,18.9,10.1,0.7,4.6,22.7,13.1,,2.4,1.5,3.9,0.152,,0.1,1.0,1.0,0.9
96,Andrew Wiggins\wiggian01,PF,25,GSW,71,2364,15.0,0.568,0.348,0.225,3.7,11.8,7.8,10.9,1.3,2.6,9.8,23.3,,1.2,2.7,3.9,0.080,,0.0,-0.4,-0.4,1.0
97,Khem Birch\birchkh01,C,28,TOT,67,1529,15.1,0.552,0.137,0.339,11.6,15.3,13.4,8.5,1.5,3.1,9.2,13.6,,2.3,1.4,3.8,0.118,,-1.0,0.1,-1.0,0.4
98,Taj Gibson\gibsota01,C,35,NYK,45,936,16.0,0.661,0.095,0.348,11.6,17.3,14.5,5.4,1.7,5.0,10.8,9.7,,2.1,1.7,3.8,0.195,,-0.7,2.1,1.3,0.8
99,Doug McDermott\mcderdo01,PF,29,IND,66,1619,15.6,0.635,0.430,0.147,4.0,10.7,7.4,7.8,0.6,0.3,7.0,20.0,,3.1,0.7,3.8,0.112,,1.4,-2.0,-0.6,0.6
100,Dwight Powell\poweldw01,C,29,DAL,58,966,16.8,0.688,0.108,0.639,9.2,17.4,13.3,8.9,1.8,2.9,13.9,13.2,,2.6,1.2,3.8,0.188,,-0.7,1.3,0.6,0.6
101,Dennis Schröder\schrode01,SG,27,LAL,61,1956,13.8,0.543,0.279,0.320,1.7,10.3,6.1,26.9,1.7,0.6,15.8,22.9,,1.0,2.7,3.8,0.093,,-1.3,0.1,-1.2,0.4
102,Jae'Sean Tate\tateja01,SF,25,HOU,70,2043,13.8,0.576,0.312,0.235,6.6,13.2,9.8,13.2,2.0,1.6,12.4,16.4,,2.2,1.6,3.8,0.088,,-1.6,0.3,-1.4,0.3
103,Robert Covington\covinro01,PF,30,POR,70,2243,11.2,0.553,0.699,0.122,2.8,19.8,11.1,6.8,2.2,3.4,10.7,11.5,,1.4,2.4,3.7,0.080,,-1.3,1.5,0.2,1.2
104,Anthony Davis\davisan02,PF,27,LAL,36,1162,22.1,0.556,0.163,0.349,6.0,21.5,13.8,16.4,1.9,4.5,9.5,29.2,,1.3,2.4,3.7,0.152,,2.6,2.2,4.8,2.0
105,Danilo Gallinari\gallida01,PF,32,ATL,51,1222,16.3,0.613,0.535,0.366,1.6,17.0,9.5,9.2,1.2,0.7,7.2,21.2,,2.7,1.0,3.7,0.146,,1.7,-0.6,1.1,1.0
106,Reggie Jackson\jacksre01,SG,30,LAC,67,1544,14.2,0.576,0.482,0.140,1.8,11.9,7.0,19.0,1.3,0.4,10.6,19.9,,2.3,1.4,3.7,0.115,,0.6,-0.2,0.4,0.9
107,Robin Lopez\lopezro01,C,32,WAS,71,1354,16.7,0.661,0.042,0.322,11.1,10.2,10.6,5.9,0.5,2.7,13.4,17.1,,2.8,0.9,3.7,0.131,,0.2,-1.2,-1.0,0.4
108,Terance Mann\mannte01,SG,24,LAC,67,1263,13.8,0.603,0.260,0.269,5.1,16.1,10.8,11.3,1.1,0.9,9.3,15.1,,2.4,1.3,3.7,0.141,,-0.5,0.3,-0.2,0.6
109,Duncan Robinson\robindu01,SF,26,MIA,72,2262,11.0,0.628,0.855,0.105,0.4,12.1,6.3,8.3,0.9,0.9,9.7,16.6,,1.9,1.8,3.7,0.079,,-0.2,-0.8,-1.0,0.6
110,Russell Westbrook\westbru01,PG,32,WAS,65,2369,19.5,0.509,0.221,0.334,4.9,28.6,16.8,48.6,1.7,0.8,18.0,30.2,,0.5,3.2,3.7,0.075,,2.6,1.1,3.7,3.4
111,Donte DiVincenzo\divindo01,SG,24,MIL,66,1814,13.0,0.542,0.574,0.118,4.9,16.7,11.0,14.2,1.9,0.7,12.5,16.7,,1.5,2.1,3.6,0.095,,-0.2,0.4,0.3,1.0
112,Kevin Huerter\huertke01,SG,22,ATL,69,2126,12.2,0.541,0.528,0.088,2.0,9.7,6.0,16.3,1.9,0.7,9.4,17.2,,1.9,1.7,3.6,0.080,,-0.6,0.4,-0.3,1.0
113,Marcus Morris\morrima03,PF,31,LAC,57,1502,14.5,0.614,0.507,0.152,2.7,14.5,8.8,5.6,1.1,0.9,8.4,20.1,,2.1,1.5,3.6,0.115,,0.9,-0.8,0.0,0.8
114,Cameron Payne\payneca01,PG,26,PHO,60,1079,17.4,0.602,0.420,0.142,1.7,13.2,7.6,28.1,1.6,1.3,12.5,19.8,,2.4,1.2,3.6,0.158,,2.1,1.0,3.1,1.4
